Back,رجوع
Preferred Countries,Preferred Countries
Send SMS to Admin when,Send SMS to Admin when
A customer registers an account,A customer registers an account
"If this option is set to ""Yes"", A sms will be sent to admin when a customer account is created.","If this option is set to ""Yes"", A sms will be sent to admin when a customer account is created."
A new order is placed,A new order is placed
"If this option is set to ""Yes"", A sms will be sent to admin when a customer places a new order.","If this option is set to ""Yes"", A sms will be sent to admin when a customer places a new order."
A customer contact to us,A customer contact to us
"If this option is set to ""Yes"", A sms will be sent to admin when a customer submit contact form.","If this option is set to ""Yes"", A sms will be sent to admin when a customer submit contact form."
Customer review a product,Customer review a product
"If this option is set to ""Yes"", A sms will be sent to admin when customer review a product.","If this option is set to ""Yes"", A sms will be sent to admin when customer review a product."
Send SMS to Customer when,Send SMS to Customer when
Mobile Number Priority,Mobile Number Priority
Customer Mobile Number,Customer Mobile Number
The number that customer enter at the registration form.,The number that customer enter at the registration form.
Order Billing Address,Order Billing Address
The number that customer enter at the billing address.,The number that customer enter at the billing address.
Order Shipping Address,Order Shipping Address
The number that customer enter at the shipping address.,The number that customer enter at the shipping address.
He registers a new account,He registers a new account
"If this option is set to ""Yes"", A sms will be sent to customer when he creates an account.","If this option is set to ""Yes"", A sms will be sent to customer when he creates an account."
He places a new order,He places a new order
"If this option is set to ""Yes"", A sms will be sent to customer when he places a new order.","If this option is set to ""Yes"", A sms will be sent to customer when he places a new order."
Message By Payment Method,Message By Payment Method
Order status is changed,Order status is changed
"If this option is set to ""Yes"", A sms will be sent to customer when status of an order is changed.","If this option is set to ""Yes"", A sms will be sent to customer when status of an order is changed."
Messages,Messages
New invoice is created,New invoice is created
"If this option is set to ""Yes"", A sms will be sent to admin when invoice is created.","If this option is set to ""Yes"", A sms will be sent to admin when invoice is created."
New shipment is created,New shipment is created
New credit memo is created,New credit memo is created
General Information,General Information
Rule,Rule
Note,Note
Add New Rule,Add New Rule
Delete rule,Delete rule
Delete selected rules?,Delete selected rules?
Delete,Delete
ID#,ID#
Message Id,Message Id
Reference Id,Reference Id
Gateway,Gateway
Status,Status
Created At,Created At
Password forgotten,Password forgotten
